wk_end,CountyName,res_county,People,IPeople,amt_benefits
2017-01-07,Beaverhead,001,70,18,13781
2017-01-07,Big Horn,003,331,116,59741
2017-01-07,Blaine,005,31,6,7913
2017-01-07,Broadwater,007,65,15,15704
2017-01-07,Carbon,009,105,30,27531
2017-01-07,Carter,011,6,,
2017-01-07,Cascade,013,950,243,196673
2017-01-07,Chouteau,015,20,,4709
2017-01-07,Custer,017,108,20,28362
2017-01-07,Daniels,019,,,
2017-01-07,Dawson,021,46,12,10989
2017-01-07,Deer Lodge,023,93,25,21863
2017-01-07,Fallon,025,19,6,4043
2017-01-07,Fergus,027,169,34,49871
2017-01-07,Flathead,029,1824,490,420097
2017-01-07,Gallatin,031,888,245,207965
2017-01-07,Garfield,033,5,,1728
2017-01-07,Glacier,035,207,51,41630
2017-01-07,Golden Valley,037,7,,1772
2017-01-07,Granite,039,54,19,13024
2017-01-07,Hill,041,138,42,26790
2017-01-07,Jefferson,043,136,31,38008
2017-01-07,Judith Basin,045,19,6,4617
2017-01-07,Lake,047,315,87,67119
2017-01-07,Lewis and Clark,049,830,190,196031
2017-01-07,Liberty,051,6,,2235
2017-01-07,Lincoln,053,420,111,99056
2017-01-07,McCone,055,,,
2017-01-07,Madison,057,83,22,18244
2017-01-07,Meagher,059,22,6,5656
2017-01-07,Mineral,061,55,13,13501
2017-01-07,Missoula,063,1411,366,299964
2017-01-07,Musselshell,065,44,16,12377
2017-01-07,Park,067,200,42,44380
2017-01-07,Petroleum,069,4,,
2017-01-07,Phillips,071,45,16,9139
2017-01-07,Pondera,073,41,14,7032
2017-01-07,Powder River,075,7,,1623
2017-01-07,Powell,077,68,19,13479
2017-01-07,Prairie,079,4,,601
2017-01-07,Ravalli,081,625,167,138841
2017-01-07,Richland,083,98,22,25102
2017-01-07,Roosevelt,085,63,14,15269
2017-01-07,Rosebud,087,95,33,20130
2017-01-07,Sanders,089,189,60,42028
2017-01-07,Sheridan,091,28,4,8263
2017-01-07,Silver Bow,093,444,104,98401
2017-01-07,Stillwater,095,108,21,31490
2017-01-07,Sweet Grass,097,24,11,4220
2017-01-07,Teton,099,67,15,16817
2017-01-07,Toole,101,22,5,5540
2017-01-07,Treasure,103,4,,
2017-01-07,Valley,105,62,12,15332
2017-01-07,Wheatland,107,26,11,5402
2017-01-07,Wibaux,109,,,
2017-01-07,Yellowstone,111,1890,418,481583
2017-01-14,Beaverhead,001,62,7,14206
2017-01-14,Big Horn,003,384,104,78183
2017-01-14,Blaine,005,29,5,8396
2017-01-14,Broadwater,007,56,9,14637
2017-01-14,Carbon,009,88,11,25244
2017-01-14,Carter,011,6,,
2017-01-14,Cascade,013,887,132,213379
2017-01-14,Chouteau,015,18,3,3411
2017-01-14,Custer,017,110,17,32633
2017-01-14,Daniels,019,3,,
2017-01-14,Dawson,021,56,12,13940
2017-01-14,Deer Lodge,023,98,21,24225
2017-01-14,Fallon,025,19,,4442
2017-01-14,Fergus,027,169,23,49887
